year,id,age,income,cohort
1979.0,1003.0,32.0,23500.63,1947.0
1978.0,1003.0,31.0,21416.34,1947.0
1979.0,1004.0,30.0,23500.63,1949.0
1978.0,1004.0,29.0,21416.34,1949.0
1985.0,2171.0,45.0,3828.0,1940.0
1986.0,2171.0,46.0,7381.0,1940.0
1984.0,2171.0,44.0,6922.0,1940.0
1984.0,2172.0,39.0,6922.0,1945.0
1978.0,2173.0,35.0,4008.0,1943.0
1979.0,2173.0,36.0,6583.0,1943.0
1980.0,4001.0,58.0,45697.1,1922.0
1978.0,4001.0,56.0,-9999.0,1922.0
1979.0,4001.0,57.0,14231.08,1922.0
1981.0,4001.0,59.0,21894.0,1922.0
1981.0,4002.0,58.0,21894.0,1923.0
1978.0,4002.0,55.0,-9999.0,1923.0
1982.0,4002.0,59.0,35959.9,1923.0
1980.0,4002.0,57.0,45697.1,1923.0
1979.0,4002.0,56.0,14231.08,1923.0
1979.0,4003.0,28.0,15242.32,1951.0
1981.0,4003.0,30.0,17829.0,1951.0
1980.0,4003.0,29.0,16979.0,1951.0
1992.0,4003.0,41.0,38158.0,1951.0
1990.0,4003.0,39.0,23383.7,1951.0
1995.0,4003.0,44.0,34059.9,1951.0
1996.0,4003.0,45.0,31367.9,1951.0
1982.0,4003.0,31.0,17741.9,1951.0
1985.0,4003.0,34.0,24687.0,1951.0
1987.0,4003.0,36.0,25109.0,1951.0
1993.0,4003.0,42.0,35491.0,1951.0
1984.0,4003.0,33.0,21150.0,1951.0
1986.0,4003.0,35.0,21826.5,1951.0
1991.0,4003.0,40.0,27346.0,1951.0
1988.0,4003.0,37.0,27071.0,1951.0
1983.0,4003.0,32.0,19375.9,1951.0
1994.0,4003.0,43.0,24265.92,1951.0
1978.0,4003.0,27.0,12373.8,1951.0
1997.0,4003.0,46.0,46730.48,1951.0
1989.0,4003.0,38.0,26755.0,1951.0
1992.0,4004.0,39.0,50776.42,1953.0
1982.0,4004.0,29.0,24697.25,1953.0
1988.0,4004.0,35.0,51950.53,1953.0
1991.0,4004.0,38.0,43204.53,1953.0
1979.0,4004.0,26.0,14482.3,1953.0
1986.0,4004.0,33.0,53125.87,1953.0
1996.0,4004.0,43.0,89490.79,1953.0
1978.0,4004.0,25.0,13899.03,1953.0
1983.0,4004.0,30.0,26940.45,1953.0
1984.0,4004.0,31.0,24848.8,1953.0
1980.0,4004.0,27.0,15228.56,1953.0
1997.0,4004.0,44.0,74754.47,1953.0
1981.0,4004.0,28.0,19811.67,1953.0
1989.0,4004.0,36.0,46474.0,1953.0
1990.0,4004.0,37.0,43214.95,1953.0
1987.0,4004.0,34.0,47438.25,1953.0
1994.0,4004.0,41.0,82700.34,1953.0
1993.0,4004.0,40.0,117762.75,1953.0
1985.0,4004.0,32.0,25845.0,1953.0
1995.0,4004.0,42.0,74057.17,1953.0
1997.0,4005.0,41.0,69957.45,1956.0
1995.0,4005.0,39.0,75796.0,1956.0
1994.0,4005.0,38.0,63694.04,1956.0
1996.0,4005.0,40.0,82578.19,1956.0
1992.0,4006.0,34.0,26864.35,1958.0
1993.0,4006.0,35.0,9879.0,1958.0
1994.0,4006.0,36.0,9800.15,1958.0
1995.0,4006.0,37.0,11314.89,1958.0
1986.0,4006.0,28.0,18749.1,1958.0
1996.0,4006.0,38.0,50112.15,1958.0
1988.0,4006.0,30.0,19570.0,1958.0
1987.0,4006.0,29.0,20342.43,1958.0
1989.0,4006.0,31.0,23457.65,1958.0
1991.0,4006.0,33.0,23464.15,1958.0
1990.0,4006.0,32.0,22438.1,1958.0
1984.0,4006.0,26.0,11859.0,1958.0
1997.0,4006.0,39.0,94567.19,1958.0
1985.0,4006.0,27.0,15492.0,1958.0
1983.0,4006.0,25.0,2383.0,1958.0
1996.0,4007.0,36.0,21075.84,1960.0
1992.0,4007.0,32.0,33115.0,1960.0
1993.0,4007.0,33.0,35548.5,1960.0
1991.0,4007.0,31.0,31471.0,1960.0
1985.0,4007.0,25.0,33307.01,1960.0
1988.0,4007.0,28.0,43372.5,1960.0
1995.0,4007.0,35.0,42854.23,1960.0
1994.0,4007.0,34.0,43818.3,1960.0
1997.0,4007.0,37.0,26132.93,1960.0
1987.0,4007.0,27.0,36165.5,1960.0
1986.0,4007.0,26.0,32964.0,1960.0
1989.0,4007.0,29.0,40854.9,1960.0
1990.0,4007.0,30.0,35058.8,1960.0
1990.0,4008.0,25.0,19787.12,1965.0
1991.0,4008.0,26.0,20613.5,1965.0
1992.0,4008.0,27.0,18769.73,1965.0
1989.0,4170.0,34.0,23457.65,1955.0
1981.0,4170.0,26.0,13611.42,1955.0
1982.0,4170.0,27.0,13477.75,1955.0
1988.0,4170.0,33.0,19570.0,1955.0
1992.0,4170.0,37.0,26864.35,1955.0
1991.0,4170.0,36.0,23464.15,1955.0
1985.0,4170.0,30.0,15492.0,1955.0
1994.0,4170.0,39.0,53254.32,1955.0
1986.0,4170.0,31.0,18749.1,1955.0
1984.0,4170.0,29.0,11859.0,1955.0
1990.0,4170.0,35.0,22438.1,1955.0
1993.0,4170.0,38.0,38166.85,1955.0
1987.0,4170.0,32.0,20342.43,1955.0
1980.0,4170.0,25.0,12026.67,1955.0
1982.0,4172.0,33.0,24697.25,1949.0
1992.0,4172.0,43.0,50776.42,1949.0
1994.0,4172.0,45.0,82700.34,1949.0
1995.0,4172.0,46.0,74057.17,1949.0
1987.0,4172.0,38.0,47438.25,1949.0
1991.0,4172.0,42.0,43204.53,1949.0
1996.0,4172.0,47.0,89490.79,1949.0
1993.0,4172.0,44.0,117762.75,1949.0
1985.0,4172.0,36.0,25845.0,1949.0
1989.0,4172.0,40.0,46474.0,1949.0
1981.0,4172.0,32.0,19811.67,1949.0
1997.0,4172.0,48.0,74754.47,1949.0
1988.0,4172.0,39.0,51950.53,1949.0
1983.0,4172.0,34.0,26940.45,1949.0
1986.0,4172.0,37.0,53125.87,1949.0
1990.0,4172.0,41.0,43214.95,1949.0
1984.0,4172.0,35.0,24848.8,1949.0
1979.0,4172.0,30.0,14482.3,1949.0
1978.0,4172.0,29.0,13899.03,1949.0
1980.0,4172.0,31.0,15228.56,1949.0
1993.0,4173.0,40.0,35491.0,1953.0
1989.0,4173.0,36.0,26755.0,1953.0
1994.0,4173.0,41.0,24265.92,1953.0
1995.0,4173.0,42.0,34059.9,1953.0
1983.0,4173.0,30.0,19375.9,1953.0
1982.0,4173.0,29.0,17741.9,1953.0
1988.0,4173.0,35.0,27071.0,1953.0
1979.0,4173.0,26.0,15242.32,1953.0
1985.0,4173.0,32.0,24687.0,1953.0
1984.0,4173.0,31.0,21150.0,1953.0
1978.0,4173.0,25.0,12373.8,1953.0
1997.0,4173.0,44.0,46730.48,1953.0
1996.0,4173.0,43.0,31367.9,1953.0
1987.0,4173.0,34.0,25109.0,1953.0
1980.0,4173.0,27.0,16979.0,1953.0
1981.0,4173.0,28.0,17829.0,1953.0
1991.0,4173.0,38.0,27346.0,1953.0
1986.0,4173.0,33.0,21826.5,1953.0
1990.0,4173.0,37.0,23383.7,1953.0
1992.0,4173.0,39.0,38158.0,1953.0
1993.0,4175.0,34.0,35548.5,1959.0
1994.0,4175.0,35.0,43818.3,1959.0
1995.0,4175.0,36.0,42854.23,1959.0
1989.0,4175.0,30.0,40854.9,1959.0
1987.0,4175.0,28.0,36165.5,1959.0
1997.0,4175.0,38.0,29957.07,1959.0
