id,year,income,years_from_layoff
1.0,1.0,27683.01200117542,-5.0
1.0,2.0,29622.971650175707,Inf
1.0,3.0,29822.111015556213,-3.0
1.0,4.0,29426.035132757188,-2.0
1.0,5.0,27733.95709158978,Inf
1.0,6.0,29859.106797625896,Inf
1.0,7.0,30652.59825312546,Inf
1.0,8.0,30822.22325434011,2.0
1.0,9.0,29320.49217621214,3.0
1.0,10.0,29744.790439818422,4.0
1.0,11.0,30828.929779172024,5.0
2.0,1.0,29786.20074442475,-5.0
2.0,2.0,30284.61024094868,Inf
2.0,3.0,29112.66630037127,-3.0
2.0,4.0,31082.641453274435,-2.0
2.0,5.0,28688.001569138298,Inf
2.0,6.0,28271.47985384189,Inf
2.0,7.0,30188.586718988427,1.0
2.0,8.0,29748.845846426284,2.0
2.0,9.0,28279.47986061625,Inf
2.0,10.0,29835.241720906397,Inf
2.0,11.0,29038.557581891448,Inf
3.0,1.0,31109.842880875196,Inf
3.0,2.0,28998.279515306174,-4.0
3.0,3.0,28001.141372913004,-3.0
3.0,4.0,28780.887627724616,-2.0
3.0,5.0,29642.58663666684,-1.0
3.0,6.0,29962.955706474793,0.0
3.0,7.0,29648.764809259043,Inf
3.0,8.0,29994.139693644218,2.0
3.0,9.0,29137.975768426037,3.0
3.0,10.0,30444.903646320912,Inf
3.0,11.0,29943.256498130664,Inf
4.0,1.0,28989.950674056407,Inf
4.0,2.0,29905.14129555614,-4.0
4.0,3.0,29781.359073193893,Inf
4.0,4.0,29590.794666105685,-2.0
4.0,5.0,30546.401236159134,Inf
4.0,6.0,30579.156881501454,0.0
4.0,7.0,29211.572382702845,Inf
4.0,8.0,29513.692124363362,2.0
4.0,9.0,29944.260318924717,Inf
4.0,10.0,29152.759240198055,Inf
4.0,11.0,28915.619565823872,Inf
5.0,1.0,28904.266787005963,-5.0
5.0,2.0,30893.756240178198,Inf
5.0,3.0,29958.036672789738,-3.0
5.0,4.0,28647.379549142675,Inf
5.0,5.0,30925.74253721795,Inf
5.0,6.0,30186.023051305692,0.0
5.0,7.0,30066.09475413241,1.0
5.0,8.0,32464.78134159557,2.0
5.0,9.0,30256.854842941437,3.0
5.0,10.0,30757.957812030032,Inf
5.0,11.0,31952.34132348594,5.0
6.0,1.0,28383.091684843024,Inf
6.0,2.0,31603.969193661516,-4.0
6.0,3.0,29136.449917690068,-3.0
6.0,4.0,30241.064004064538,Inf
6.0,5.0,29671.425170661158,-1.0
6.0,6.0,29297.735512038238,0.0
6.0,7.0,30202.175239805038,1.0
6.0,8.0,29989.239975471657,2.0
6.0,9.0,29303.776108776525,3.0
6.0,10.0,30328.295001720573,Inf
6.0,11.0,29967.52526882366,5.0
7.0,1.0,30968.160160575073,Inf
7.0,2.0,27877.287003777565,-4.0
7.0,3.0,31366.311065497383,Inf
7.0,4.0,29423.38835753811,Inf
7.0,5.0,28986.746644390132,-1.0
7.0,6.0,30104.058597181174,0.0
7.0,7.0,29315.125280192427,1.0
7.0,8.0,29504.288461938868,2.0
7.0,9.0,30645.58392990673,3.0
7.0,10.0,30277.880635346613,Inf
7.0,11.0,29669.201141074846,Inf
8.0,1.0,30570.748569363048,Inf
8.0,2.0,29563.814375335438,Inf
8.0,3.0,29629.658648204437,-3.0
8.0,4.0,30590.907087155047,-2.0
8.0,5.0,28348.384631729943,-1.0
8.0,6.0,28488.463929424055,0.0
8.0,7.0,27444.88120337791,1.0
8.0,8.0,31614.115035080147,Inf
8.0,9.0,29849.295252735457,Inf
8.0,10.0,31063.486046487524,Inf
8.0,11.0,30277.776325318086,Inf
9.0,1.0,32280.77751430941,Inf
9.0,2.0,29979.61492054137,Inf
9.0,3.0,29468.857698142998,-3.0
9.0,4.0,30273.747905057204,-2.0
9.0,5.0,29602.419714801654,-1.0
9.0,6.0,29971.273523124873,Inf
9.0,7.0,29150.621899267026,Inf
9.0,8.0,30579.06572906213,2.0
9.0,9.0,29808.066167925583,3.0
9.0,10.0,28933.034952166417,Inf
9.0,11.0,30028.445063649408,Inf
10.0,1.0,30148.180697968462,Inf
10.0,2.0,29215.553421124245,-4.0
10.0,3.0,29707.17279518523,Inf
10.0,4.0,31166.068908939716,-2.0
10.0,5.0,31046.72949053738,-1.0
10.0,6.0,29529.38625025748,Inf
10.0,7.0,28931.196241622023,1.0
10.0,8.0,28781.43066970956,Inf
10.0,9.0,28428.740038592292,3.0
10.0,10.0,29345.37007738063,4.0
10.0,11.0,30229.886941032913,5.0
11.0,1.0,30811.609860158598,Inf
11.0,2.0,30457.829068097322,-4.0
11.0,3.0,30637.938900520396,Inf
11.0,4.0,30572.75879274721,-2.0
11.0,5.0,30032.333975591388,Inf
11.0,6.0,28117.351722153904,Inf
11.0,7.0,29340.740794194808,1.0
11.0,8.0,29664.594026285595,2.0
11.0,9.0,29481.890146313326,3.0
