year,id,age,income,anual_hours,number_children,treatment
1980.0,4001.0,58.0,45697.1,2688.0,1.0,1
1989.0,4001.0,67.0,21402.59,1231.0,0.0,1
1992.0,4001.0,70.0,21198.55,832.0,0.0,1
1985.0,4001.0,63.0,11808.48,1388.0,0.0,1
1984.0,4001.0,62.0,27270.0,0.0,0.0,1
1993.0,4001.0,71.0,9208.94,260.0,0.0,1
1990.0,4001.0,68.0,11752.74,780.0,0.0,1
1978.0,4001.0,56.0,-9999.0,2280.0,2.0,1
1982.0,4001.0,60.0,35959.9,2920.0,1.0,1
1987.0,4001.0,65.0,17178.49,960.0,0.0,1
1994.0,4001.0,72.0,9764.56,0.0,0.0,1
1988.0,4001.0,66.0,19299.06,708.0,0.0,1
1986.0,4001.0,64.0,13272.3,149.0,0.0,1
1983.0,4001.0,61.0,17979.48,68.0,1.0,1
1979.0,4001.0,57.0,14231.08,5000.0,1.0,1
1991.0,4001.0,69.0,16384.0,1610.0,0.0,1
1981.0,4001.0,59.0,21894.0,3339.0,1.0,1
1979.0,4003.0,28.0,15242.32,1950.0,2.0,0
1981.0,4003.0,30.0,17829.0,2100.0,2.0,0
1980.0,4003.0,29.0,16979.0,2310.0,2.0,0
1992.0,4003.0,41.0,38158.0,2340.0,2.0,0
1990.0,4003.0,39.0,23383.7,1575.0,2.0,0
1995.0,4003.0,44.0,34059.9,2500.0,1.0,0
1996.0,4003.0,45.0,31367.9,2050.0,1.0,0
1982.0,4003.0,31.0,17741.9,1760.0,2.0,0
1985.0,4003.0,34.0,24687.0,1920.0,2.0,0
1987.0,4003.0,36.0,25109.0,2604.0,2.0,0
1993.0,4003.0,42.0,35491.0,347.0,2.0,0
1984.0,4003.0,33.0,21150.0,1800.0,2.0,0
1986.0,4003.0,35.0,21826.5,2352.0,2.0,0
1991.0,4003.0,40.0,27346.0,3200.0,3.0,0
1988.0,4003.0,37.0,27071.0,2500.0,2.0,0
1983.0,4003.0,32.0,19375.9,1800.0,2.0,0
1994.0,4003.0,43.0,24265.92,1554.0,2.0,0
1978.0,4003.0,27.0,12373.8,2000.0,2.0,0
1997.0,4003.0,46.0,46730.48,1976.0,1.0,0
1989.0,4003.0,38.0,26755.0,1950.0,2.0,0
1992.0,4004.0,39.0,50776.42,2450.0,2.0,0
1982.0,4004.0,29.0,24697.25,1880.0,2.0,0
1988.0,4004.0,35.0,51950.53,3032.0,2.0,0
1991.0,4004.0,38.0,43204.53,2760.0,2.0,0
1979.0,4004.0,26.0,14482.3,455.0,2.0,0
1986.0,4004.0,33.0,53125.87,3430.0,2.0,0
1996.0,4004.0,43.0,89490.79,2123.45,1.0,0
1978.0,4004.0,25.0,13899.03,70.0,1.0,0
1983.0,4004.0,30.0,26940.45,2250.0,2.0,0
1984.0,4004.0,31.0,24848.8,2273.0,2.0,0
1980.0,4004.0,27.0,15228.56,160.0,2.0,0
1997.0,4004.0,44.0,74754.47,2039.45,0.0,0
1981.0,4004.0,28.0,19811.67,700.0,2.0,0
1989.0,4004.0,36.0,46474.0,3500.0,2.0,0
1990.0,4004.0,37.0,43214.95,1840.0,2.0,0
1987.0,4004.0,34.0,47438.25,3177.0,2.0,0
1994.0,4004.0,41.0,82700.34,2940.0,2.0,0
1993.0,4004.0,40.0,117762.75,2940.0,2.0,0
1985.0,4004.0,32.0,25845.0,2250.0,2.0,0
1995.0,4004.0,42.0,74057.17,4032.0,1.0,0
1982.0,4172.0,33.0,24697.25,3848.0,2.0,1
1992.0,4172.0,43.0,50776.42,3240.0,2.0,1
1994.0,4172.0,45.0,82700.34,2178.0,2.0,1
1995.0,4172.0,46.0,74057.17,2730.0,1.0,1
1987.0,4172.0,38.0,47438.25,4480.0,2.0,1
1991.0,4172.0,42.0,43204.53,3630.0,2.0,1
1996.0,4172.0,47.0,89490.79,2280.0,1.0,1
1993.0,4172.0,44.0,117762.75,3417.0,2.0,1
1985.0,4172.0,36.0,25845.0,3768.0,2.0,1
1989.0,4172.0,40.0,46474.0,3750.0,2.0,1
1981.0,4172.0,32.0,19811.67,3171.0,2.0,1
1997.0,4172.0,48.0,74754.47,220.0,0.0,1
1988.0,4172.0,39.0,51950.53,3444.0,2.0,1
1983.0,4172.0,34.0,26940.45,4610.0,2.0,1
1986.0,4172.0,37.0,53125.87,3788.0,2.0,1
1990.0,4172.0,41.0,43214.95,3083.0,2.0,1
1984.0,4172.0,35.0,24848.8,2731.0,2.0,1
1979.0,4172.0,30.0,14482.3,2886.0,2.0,1
1978.0,4172.0,29.0,13899.03,2961.0,1.0,1
1980.0,4172.0,31.0,15228.56,3071.0,2.0,1
1993.0,4175.0,34.0,35548.5,2076.0,2.0,0
1994.0,4175.0,35.0,43818.3,2000.0,2.0,0
1995.0,4175.0,36.0,42854.23,2000.0,2.0,0
1989.0,4175.0,30.0,40854.9,2124.0,2.0,0
1987.0,4175.0,28.0,36165.5,2100.0,1.0,0
1997.0,4175.0,38.0,29957.07,2006.0,0.0,0
1990.0,4175.0,31.0,35058.8,2000.0,2.0,0
1988.0,4175.0,29.0,43372.5,2645.0,2.0,0
1985.0,4175.0,26.0,33307.01,2161.0,1.0,0
1992.0,4175.0,33.0,33115.0,2200.0,2.0,0
1986.0,4175.0,27.0,32964.0,2130.0,1.0,0
1991.0,4175.0,32.0,31471.0,2210.0,2.0,0
1996.0,4186.0,52.0,82578.19,2585.0,1.0,0
1997.0,4186.0,53.0,69957.45,1820.0,1.0,0
1995.0,4186.0,51.0,75796.0,2300.0,1.0,0
1994.0,4186.0,50.0,63694.04,2250.0,1.0,0
1996.0,5001.0,53.0,21058.46,2000.0,0.0,1
1995.0,5001.0,52.0,23254.15,1984.0,0.0,1
1993.0,5001.0,50.0,9278.75,0.0,0.0,1
1990.0,5001.0,47.0,33492.6,3003.0,0.0,1
1994.0,5001.0,51.0,25209.52,2080.0,0.0,1
1992.0,5001.0,49.0,7397.15,0.0,0.0,1
1982.0,5001.0,39.0,23945.75,1736.0,3.0,1
1983.0,5001.0,40.0,14380.4,910.0,3.0,1
1978.0,5001.0,35.0,13206.5,1800.0,4.0,1
1989.0,5001.0,46.0,19699.75,2080.0,0.0,1
1985.0,5001.0,42.0,9440.2,160.0,1.0,1
1984.0,5001.0,41.0,6789.1,231.0,2.0,1
1979.0,5001.0,36.0,13018.85,1340.0,4.0,1
1991.0,5001.0,48.0,27534.25,2170.0,0.0,1
1987.0,5001.0,44.0,17065.7,2179.0,1.0,1
1986.0,5001.0,43.0,9729.45,348.0,1.0,1
1980.0,5001.0,37.0,15505.78,1040.0,3.0,1
1988.0,5001.0,45.0,28475.1,2056.0,0.0,1
1981.0,5001.0,38.0,15482.44,1388.0,3.0,1
1984.0,5003.0,22.0,14533.5,2200.0,1.0,0
1991.0,5003.0,29.0,22167.25,571.0,2.0,0
1993.0,5003.0,31.0,25909.3,705.0,2.0,0
1996.0,5003.0,34.0,42593.77,2550.0,2.0,0
1997.0,5003.0,35.0,58182.52,2500.0,2.0,0
1994.0,5003.0,32.0,38601.67,2860.0,2.0,0
1981.0,5003.0,19.0,15482.44,776.0,3.0,0
1988.0,5003.0,26.0,34206.0,2304.0,2.0,0
1987.0,5003.0,25.0,30370.5,2518.0,2.0,0
1990.0,5003.0,28.0,32997.51,2080.0,2.0,0
1995.0,5003.0,33.0,42764.25,3978.0,2.0,0
1979.0,5003.0,17.0,13018.85,433.0,4.0,0
1980.0,5003.0,18.0,15505.78,378.0,3.0,0
1983.0,5003.0,21.0,5870.3,1656.0,0.0,0
1982.0,5003.0,20.0,23945.75,864.0,3.0,0
1992.0,5003.0,30.0,28991.73,552.0,2.0,0
1985.0,5003.0,23.0,12906.8,2530.0,2.0,0
1989.0,5003.0,27.0,26728.58,1560.0,2.0,0
1986.0,5003.0,24.0,23955.8,2860.0,2.0,0
1978.0,5003.0,16.0,13206.5,360.0,4.0,0
1989.0,5005.0,23.0,19699.75,2080.0,0.0,0
1987.0,5005.0,21.0,17065.7,384.0,1.0,0
1984.0,5005.0,18.0,6789.1,0.0,2.0,0
1993.0,5005.0,27.0,37083.5,2295.0,2.0,0
1997.0,5005.0,31.0,41466.51,2775.6,3.0,0
1981.0,5005.0,15.0,15482.44,0.0,3.0,0
1985.0,5005.0,19.0,9440.2,240.0,1.0,0
1994.0,5005.0,28.0,39490.34,2041.0,2.0,0
1995.0,5005.0,29.0,35295.91,2703.0,3.0,0
1983.0,5005.0,17.0,14380.4,209.0,3.0,0
1996.0,5005.0,30.0,36148.06,2805.0,3.0,0
1986.0,5005.0,20.0,9729.45,48.0,1.0,0
1982.0,5005.0,16.0,23945.75,0.0,3.0,0
1991.0,5005.0,25.0,27534.25,3120.0,0.0,0
1992.0,5005.0,26.0,18840.21,2105.0,2.0,0
1979.0,5005.0,13.0,13018.85,0.0,4.0,0
1988.0,5005.0,22.0,28475.1,1920.0,0.0,0
1978.0,5005.0,12.0,13206.5,0.0,4.0,0
1990.0,5005.0,24.0,33492.6,2080.0,0.0,0
1980.0,5005.0,14.0,15505.78,0.0,3.0,0
1983.0,5170.0,18.0,5870.3,0.0,0.0,0
1987.0,5170.0,22.0,30370.5,0.0,2.0,0
1992.0,5170.0,27.0,28991.73,2118.0,2.0,0
1993.0,5170.0,28.0,25909.3,2564.0,2.0,0
1991.0,5170.0,26.0,22167.25,1536.0,2.0,0
1996.0,5170.0,31.0,42593.77,2050.0,2.0,0
1985.0,5170.0,20.0,12906.8,1199.0,2.0,0
1986.0,5170.0,21.0,23955.8,2550.0,2.0,0
1994.0,5170.0,29.0,38601.67,3432.0,2.0,0
1997.0,5170.0,32.0,58182.52,1836.0,2.0,0
1995.0,5170.0,30.0,42764.25,1590.03,2.0,0
1989.0,5170.0,24.0,26728.58,1404.0,2.0,0
1990.0,5170.0,25.0,32997.51,1785.0,2.0,0
1988.0,5170.0,23.0,34206.0,0.0,2.0,0
1984.0,5170.0,19.0,14533.5,0.0,1.0,0
1994.0,5171.0,48.0,21807.49,2205.0,0.0,0
1990.0,5171.0,44.0,16322.08,2400.0,0.0,0
1996.0,5171.0,50.0,21232.2,2438.4,0.0,0
1997.0,5171.0,51.0,18880.04,2342.4,0.0,0
1989.0,5171.0,43.0,8239.12,1844.0,0.0,0
1993.0,5171.0,47.0,23959.75,2400.0,0.0,0
1991.0,5171.0,45.0,14510.75,2456.0,0.0,0
1995.0,5171.0,49.0,19444.62,2303.0,0.0,0
1992.0,5171.0,46.0,15438.0,2286.0,0.0,0
1980.0,6001.0,58.0,12186.6,2583.0,0.0,0
1986.0,6001.0,64.0,5870.7,2500.0,0.0,0
1979.0,6001.0,57.0,24890.04,2570.0,0.0,0
1982.0,6001.0,60.0,15882.5,2295.0,0.0,0
1995.0,6001.0,73.0,39704.25,3908.0,0.0,0
1984.0,6001.0,62.0,13311.0,2080.0,0.0,0
1992.0,6001.0,70.0,36786.5,2600.0,0.0,0
1981.0,6001.0,59.0,3377.0,3060.0,0.0,0
1993.0,6001.0,71.0,36594.75,4000.0,0.0,0
1985.0,6001.0,63.0,14468.0,2080.0,0.0,0
1990.0,6001.0,68.0,25636.4,1758.0,0.0,0
1987.0,6001.0,65.0,26983.0,2705.0,0.0,0
1989.0,6001.0,67.0,19121.2,2600.0,0.0,0
1994.0,6001.0,72.0,14204.3,2040.0,0.0,0
1983.0,6001.0,61.0,2774.0,2500.0,0.0,0
1991.0,6001.0,69.0,24114.88,2448.0,0.0,0
1996.0,6001.0,74.0,45607.46,1560.0,0.0,0
1997.0,6001.0,75.0,48536.87,1868.0,0.0,0
1978.0,6001.0,56.0,28834.5,4120.0,0.0,0
1988.0,6004.0,39.0,47544.3,1560.0,2.0,0
1981.0,6004.0,32.0,28182.85,1250.0,3.0,0
1994.0,6004.0,45.0,39158.57,2208.8,0.0,0
1979.0,6004.0,30.0,43408.3,1500.0,3.0,0
1993.0,6004.0,44.0,41269.5,2024.0,0.0,0
1992.0,6004.0,43.0,44097.82,2167.0,1.0,0
1978.0,6004.0,29.0,22193.5,1600.0,3.0,0
1990.0,6004.0,41.0,42574.2,2080.0,2.0,0
1984.0,6004.0,35.0,36748.55,2000.0,3.0,0
1983.0,6004.0,34.0,27025.0,2080.0,3.0,0
1997.0,6004.0,48.0,51911.63,2210.2,0.0,0
1987.0,6004.0,38.0,45464.0,1992.0,2.0,0
1985.0,6004.0,36.0,37704.0,1828.0,3.0,0
1996.0,6004.0,47.0,36611.37,2000.0,0.0,0
1989.0,6004.0,40.0,45336.4,2080.0,2.0,0
1986.0,6004.0,37.0,39696.4,2080.0,3.0,0
1995.0,6004.0,46.0,44803.16,1872.2,0.0,0
1982.0,6004.0,33.0,26082.0,1500.0,3.0,0
1980.0,6004.0,31.0,26064.8,1470.0,3.0,0
1991.0,6004.0,42.0,46107.0,2080.0,1.0,0
1992.0,6006.0,37.0,92573.05,3750.0,3.0,0
1994.0,6006.0,39.0,69938.95,3900.0,3.0,0
1995.0,6006.0,40.0,63384.28,3750.0,3.0,0
1990.0,6006.0,35.0,66384.8,3672.0,3.0,0
1980.0,6006.0,25.0,18581.55,320.0,0.0,0
1983.0,6006.0,28.0,48481.1,3830.0,2.0,0
1986.0,6006.0,31.0,30504.4,3289.0,3.0,0
1985.0,6006.0,30.0,60166.0,3514.0,3.0,0
1984.0,6006.0,29.0,57628.97,3918.0,2.0,0
1981.0,6006.0,26.0,16319.45,260.0,1.0,0
1996.0,6006.0,41.0,75074.02,4080.0,3.0,0
1997.0,6006.0,42.0,75487.77,3172.0,3.0,0
1982.0,6006.0,27.0,14210.0,2430.0,2.0,0
1991.0,6006.0,36.0,70143.6,3458.0,3.0,0
1989.0,6006.0,34.0,54367.25,3690.0,3.0,0
1993.0,6006.0,38.0,51567.5,631.0,3.0,0
1988.0,6006.0,33.0,75618.85,3723.0,3.0,0
1978.0,6006.0,23.0,8001.7,500.0,0.0,0
1987.0,6006.0,32.0,48341.2,3709.0,3.0,0
1979.0,6006.0,24.0,27089.65,1900.0,0.0,0
1981.0,7003.0,27.0,5742.39,476.0,3.0,0
1997.0,7003.0,43.0,52939.19,2550.0,1.0,0
1988.0,7003.0,34.0,9759.07,4080.0,3.0,0
1993.0,7003.0,39.0,26978.2,2884.0,2.0,0
1982.0,7003.0,28.0,11542.72,1105.0,3.0,0
1986.0,7003.0,32.0,8047.05,0.0,3.0,0
1990.0,7003.0,36.0,19532.94,1228.0,3.0,0
1992.0,7003.0,38.0,19537.5,2288.0,2.0,0
1996.0,7003.0,42.0,121691.17,2000.0,1.0,0
1985.0,7003.0,31.0,7932.0,0.0,3.0,0
1994.0,7003.0,40.0,32534.84,3000.0,1.0,0
1979.0,7003.0,25.0,11857.58,1960.0,3.0,0
1995.0,7003.0,41.0,19752.44,1346.72,1.0,0
1987.0,7003.0,33.0,9387.5,3060.0,3.0,0
1989.0,7003.0,35.0,14469.9,2080.0,3.0,0
1991.0,7003.0,37.0,19846.0,2056.0,3.0,0
1980.0,7003.0,26.0,14597.15,2984.0,3.0,0
1978.0,7003.0,24.0,9235.21,1980.0,3.0,0
1983.0,7003.0,29.0,6892.0,0.0,3.0,0
1984.0,7003.0,30.0,7788.0,0.0,3.0,0
1986.0,7004.0,31.0,6295.08,288.0,4.0,0
1981.0,7004.0,26.0,5532.0,0.0,4.0,0
1996.0,7004.0,41.0,14604.49,2080.0,4.0,0
1993.0,7004.0,38.0,18877.5,2080.0,4.0,0
1985.0,7004.0,30.0,6065.5,621.0,4.0,0
1987.0,7004.0,32.0,8176.95,2295.0,4.0,0
1988.0,7004.0,33.0,7633.02,2340.0,4.0,0
1979.0,7004.0,24.0,2921.81,450.0,3.0,0
1991.0,7004.0,36.0,9276.42,2080.0,4.0,0
1992.0,7004.0,37.0,6888.22,69.0,4.0,0
1995.0,7004.0,40.0,14973.11,2360.0,4.0,0
1997.0,7004.0,42.0,24764.73,2499.0,4.0,0
1990.0,7004.0,35.0,8470.8,2376.0,3.0,0
1994.0,7004.0,39.0,3335.32,2080.0,4.0,0
1989.0,7004.0,34.0,2830.43,2080.0,4.0,0
1978.0,7004.0,23.0,2532.0,0.0,3.0,0
1982.0,7004.0,27.0,5400.0,0.0,4.0,0
1983.0,7004.0,28.0,5700.0,0.0,4.0,0
1984.0,7004.0,29.0,6478.48,765.0,4.0,0
1980.0,7004.0,25.0,3795.0,0.0,3.0,0
1984.0,7170.0,31.0,7788.0,0.0,3.0,0
1982.0,7170.0,29.0,11542.72,0.0,3.0,0
1997.0,7170.0,44.0,52939.19,2024.0,1.0,0
1993.0,7170.0,40.0,26978.2,2575.0,2.0,0
1989.0,7170.0,36.0,14469.9,2100.0,3.0,0
1996.0,7170.0,43.0,121691.17,2721.6,1.0,0
1980.0,7170.0,27.0,14597.15,1596.0,3.0,0
1987.0,7170.0,34.0,9387.5,2040.0,3.0,0
1981.0,7170.0,28.0,5742.39,0.0,3.0,0
1991.0,7170.0,38.0,19846.0,2000.0,3.0,0
1985.0,7170.0,32.0,7932.0,0.0,3.0,0
1994.0,7170.0,41.0,32534.84,3854.0,1.0,0
1990.0,7170.0,37.0,19532.94,3040.0,3.0,0
1986.0,7170.0,33.0,8047.05,975.0,3.0,0
1978.0,7170.0,25.0,9235.21,0.0,3.0,0
1983.0,7170.0,30.0,6892.0,0.0,3.0,0
1992.0,7170.0,39.0,19537.5,1888.0,2.0,0
1995.0,7170.0,42.0,19752.44,2976.0,1.0,0
1979.0,7170.0,26.0,11857.58,1120.0,3.0,0
1988.0,7170.0,35.0,9759.07,2010.0,3.0,0
1981.0,10003.0,38.0,19818.03,1960.0,3.0,0
1985.0,10003.0,42.0,22072.0,2000.0,1.0,0
1986.0,10003.0,43.0,21153.1,2080.0,1.0,0
1982.0,10003.0,39.0,19144.48,1920.0,2.0,0
1997.0,10003.0,54.0,21267.0,0.0,0.0,0
1979.0,10003.0,36.0,15092.03,1920.0,3.0,0
1992.0,10003.0,49.0,29665.0,2080.0,0.0,0
1988.0,10003.0,45.0,23526.55,2000.0,1.0,0
1995.0,10003.0,52.0,18239.15,1960.0,0.0,0
1994.0,10003.0,51.0,9178.43,2080.0,0.0,0
1978.0,10003.0,35.0,16077.1,1920.0,2.0,0
1991.0,10003.0,48.0,33814.0,2080.0,0.0,0
1987.0,10003.0,44.0,23985.95,2080.0,1.0,0
